title,description,meal_time,prep_time_mins,effort_score,servings,tags,image_url,ingredients_list,shopping_list,recipe_steps,cuisine,user_id,is_user_created,source_url,source_name
"Brownie Bite Milkshake","A ready-made brownie turns vanilla ice cream into an easy chocolate dessert.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/brownie-bite-milkshake-1c4661b61965.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 small ready-to-eat brownie (about 1 ounce), crumbled""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 small ready-to-eat brownie (about 1 ounce), crumbled""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Orange Cream Milkshake","Frozen orange juice concentrate gives vanilla ice cream a bright orange-cream flavor.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/orange-cream-milkshake-326d9217cbf1.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon frozen orange juice concentrate""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon frozen orange juice concentrate""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Strawberry Banana Smoothie","An easy berry-and-banana blend using frozen strawberries and plain yogurt.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/strawberry-banana-smoothie-49109ae1202b.jpg","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""1 cup frozen sliced strawberries"",""1/2 medium ripe banana, peeled and sliced""}","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""1 cup frozen sliced strawberries"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Mango Banana Smoothie","Frozen mango and orange juice make a bright, simple fruit smoothie.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/mango-banana-smoothie-65e350c0343c.jpg","{""1/2 cup orange juice"",""1 cup frozen mango chunks"",""1/2 medium ripe banana, peeled and sliced""}","{""1/2 cup orange juice"",""1 cup frozen mango chunks"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Blueberry Yogurt Smoothie","Blueberries and yogurt blend into a creamy purple smoothie with a little banana for sweetness.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/blueberry-yogurt-smoothie-35d0f97bcb91.jpg","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""3/4 cup frozen blueberries"",""1/2 medium ripe banana, peeled and sliced""}","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""3/4 cup frozen blueberries"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Mixed Berry Smoothie","A bag of mixed berries makes this fruity smoothie easy to keep on hand.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/mixed-berry-smoothie-ad93bc392fbb.jpg","{""3/4 cup apple juice"",""1/4 cup plain yogurt"",""1 cup frozen mixed berries""}","{""3/4 cup apple juice"",""1/4 cup plain yogurt"",""1 cup frozen mixed berries""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Pineapple Banana Smoothie","A bright pineapple-and-banana drink made with three everyday ingredients.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/pineapple-banana-smoothie-15c286dbe214.jpg","{""1/2 cup orange juice"",""1 cup frozen pineapple chunks"",""1/2 medium ripe banana, peeled and sliced""}","{""1/2 cup orange juice"",""1 cup frozen pineapple chunks"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Peach Vanilla Yogurt Smoothie","Frozen peaches and vanilla yogurt make a creamy smoothie without peeling fresh fruit.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/peach-vanilla-yogurt-smoothie-86f693c3fdc5.jpg","{""1/2 cup cold milk"",""1/2 cup vanilla yogurt"",""1 cup frozen peach slices""}","{""1/2 cup cold milk"",""1/2 cup vanilla yogurt"",""1 cup frozen peach slices""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Peanut Butter Banana Oat Smoothie","Banana, peanut butter and quick oats blend into an easy breakfast or snack.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/peanut-butter-banana-oat-smoothie-1d903d99c364.jpg","{""3/4 cup cold milk"",""1 medium ripe banana, peeled and sliced"",""2 tablespoons quick oats"",""1 tablespoon creamy peanut butter"",""1/4 cup ice cubes""}","{""3/4 cup cold milk"",""1 medium ripe banana, peeled and sliced"",""2 tablespoons quick oats"",""1 tablespoon creamy peanut butter"",""1/4 cup ice cubes""}","{""Pour the milk into a blender and add the quick oats. Let them soften for 2 minutes while you peel and slice the banana."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Chocolate Banana Smoothie","A ripe banana sweetens this cocoa smoothie without needing chocolate ice cream.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chocolate-banana-smoothie-c63cdce8aab5.jpg","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""1 medium ripe banana, peeled and sliced"",""1 tablespoon unsweetened cocoa powder"",""1/4 cup ice cubes""}","{""1/2 cup cold milk"",""1/4 cup plain yogurt"",""1 medium ripe banana, peeled and sliced"",""1 tablespoon unsweetened cocoa powder"",""1/4 cup ice cubes""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Spinach Mango Smoothie","Sweet mango and banana soften the flavor of a small handful of spinach.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/spinach-mango-smoothie-6ec7cfe07368.jpg","{""3/4 cup orange juice"",""1 cup frozen mango chunks"",""1/2 cup washed fresh baby spinach"",""1/2 medium ripe banana, peeled and sliced""}","{""3/4 cup orange juice"",""1 cup frozen mango chunks"",""1/2 cup washed fresh baby spinach"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Apple Cinnamon Oat Smoothie","Unsweetened applesauce makes an easy apple smoothie with no peeling or chopping.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/apple-cinnamon-oat-smoothie-dbb96002376b.jpg","{""1/2 cup cold milk"",""1/2 cup unsweetened applesauce"",""1/4 cup vanilla yogurt"",""2 tablespoons quick oats"",""1/4 teaspoon ground cinnamon"",""1/4 cup ice cubes""}","{""1/2 cup cold milk"",""1/2 cup unsweetened applesauce"",""1/4 cup vanilla yogurt"",""2 tablespoons quick oats"",""1/4 teaspoon ground cinnamon"",""1/4 cup ice cubes""}","{""Pour the milk into a blender and add the quick oats. Let them soften for 2 minutes, then add the applesauce and vanilla yogurt."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Raspberry Banana Smoothie","Tart raspberries and a ripe banana make a simple pink smoothie with a naturally seedy texture.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/raspberry-banana-smoothie-ccec0a29290e.jpg","{""3/4 cup cold milk"",""3/4 cup frozen raspberries"",""1 medium ripe banana, peeled and sliced""}","{""3/4 cup cold milk"",""3/4 cup frozen raspberries"",""1 medium ripe banana, peeled and sliced""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
"Orange Banana Yogurt Smoothie","Orange juice, banana and vanilla yogurt make a quick creamy fruit drink.","{""breakfast"",""snack""}",5,1,1,"{""smoothie"",""smoothies-and-shakes"",""quick"",""easy""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/orange-banana-yogurt-smoothie-5225b3184226.jpg","{""1/2 cup orange juice"",""1/2 cup vanilla yogurt"",""1 medium ripe banana, peeled and sliced"",""1/4 cup ice cubes""}","{""1/2 cup orange juice"",""1/2 cup vanilla yogurt"",""1 medium ripe banana, peeled and sliced"",""1/4 cup ice cubes""}","{""Measure the liquid into a blender, then add the yogurt or other soft ingredients if listed."",""Add the fruit and all remaining measured ingredients. Cover and blend until smooth, about 45 to 60 seconds."",""If the mixture stops moving, turn off the blender and scrape down the sides before blending again. Pour into one large glass and serve right away.""}","American",,false,,
