title,description,meal_time,prep_time_mins,effort_score,servings,tags,image_url,ingredients_list,shopping_list,recipe_steps,cuisine,user_id,is_user_created,source_url,source_name
"Chicken Gravy over Instant Mash","Chicken and gravy over instant mashed potatoes for a very low-effort dinner. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",15,1,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""pantry-meal""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-gravy-over-instant-mash-8c73db2d01ce.jpg","{""1 1/2 cups cooked shredded chicken"",""1 12-ounce jar chicken gravy"",""1/2 cup water"",""1 4-ounce pouch complete instant mashed potatoes, water-only preparation"",""2 cups water""}","{""1 1/2 cups cooked shredded chicken"",""1 12-ounce jar chicken gravy"",""1 4-ounce pouch complete instant mashed potatoes, water-only preparation""}","{""Put chicken, gravy and the 1/2 cup water in a saucepan. Simmer gently, stirring, for 6–8 minutes until chicken reaches 165°F."",""Prepare the complete mashed-potato pouch using the 2 cups water, or the amount of water printed on that pouch."",""Divide mash between two bowls and spoon the hot chicken and gravy over it.""}","American",,false,"https://potatogoodness.com/recipes/roasted-chicken-and-mashed-potato-casserole/","Potatoes USA"
"Quick Chicken Corn Chowder","A chunky chicken and corn soup with tender potatoes and a creamy broth. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,1,3,"{""easy"",""comfort-food"",""quick"",""chicken"",""soup""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/quick-chicken-corn-chowder-ffdf6666676b.jpg","{""1 10.5-ounce can condensed cream of chicken soup"",""2 cups chicken broth"",""1/2 cup milk"",""1 medium potato, cut into 1/2-inch cubes"",""1 1/2 cups frozen corn"",""1 1/2 cups cooked diced chicken"",""1/2 teaspoon garlic powder"",""1/4 teaspoon black pepper""}","{""1 10.5-ounce can condensed cream of chicken soup"",""2 cups chicken broth"",""1/2 cup milk"",""1 medium potato, cut into 1/2-inch cubes"",""1 1/2 cups frozen corn"",""1 1/2 cups cooked diced chicken"",""1/2 teaspoon garlic powder"",""1/4 teaspoon black pepper""}","{""Whisk condensed soup, broth and milk together in a saucepan. Add potato and bring to a gentle simmer."",""Cover loosely and simmer 12–15 minutes, stirring occasionally, until potato is tender."",""Add corn, chicken, garlic powder and pepper. Simmer 5–7 minutes more, stirring, until hot throughout and the chicken reaches 165°F.""}","American",,false,"https://www.campbells.com/pace/recipes/chicken-corn-chowder/","Campbell’s Kitchen"
"Creamy Chicken Gnocchi Soup","Store-bought gnocchi turn leftover chicken into a filling creamy soup. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,1,3,"{""easy"",""comfort-food"",""quick"",""chicken"",""soup""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/creamy-chicken-gnocchi-soup-a678c6beb02f.jpg","{""1 tablespoon butter"",""1/2 cup frozen diced onion"",""3 cups chicken broth"",""1 16-ounce package shelf-stable potato gnocchi"",""1 1/2 cups cooked shredded chicken"",""1/2 cup heavy cream"",""2 cups baby spinach"",""1/2 teaspoon Italian seasoning""}","{""1 tablespoon butter"",""1/2 cup frozen diced onion"",""3 cups chicken broth"",""1 16-ounce package shelf-stable potato gnocchi"",""1 1/2 cups cooked shredded chicken"",""1/2 cup heavy cream"",""2 cups baby spinach"",""1/2 teaspoon Italian seasoning""}","{""Melt butter in a saucepan over medium heat. Cook onion for 4 minutes, stirring."",""Add broth and Italian seasoning. Bring to a simmer, then add gnocchi and cook for the package time, usually 2–4 minutes."",""Stir in chicken and cream. Simmer gently for 5–7 minutes until chicken reaches 165°F."",""Stir in spinach just until wilted and serve.""}","American",,false,"https://www.budgetbytes.com/kale-chicken-and-gnocchi-soup/","Budget Bytes"
"Chicken and Noodles in Gravy","Egg noodles, chicken and carrots in a thick gravy-style sauce. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,1,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""pasta""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-and-noodles-in-gravy-ac59946b24a7.jpg","{""5 ounces dry egg noodles"",""1 cup frozen peas and carrots"",""1 1/2 cups cooked diced chicken"",""1 10.5-ounce can condensed cream of chicken soup"",""3/4 cup chicken broth"",""1/4 teaspoon black pepper""}","{""5 ounces dry egg noodles"",""1 cup frozen peas and carrots"",""1 1/2 cups cooked diced chicken"",""1 10.5-ounce can condensed cream of chicken soup"",""3/4 cup chicken broth"",""1/4 teaspoon black pepper""}","{""Boil egg noodles for the package time. Add peas and carrots during the final 4 minutes, then drain."",""Meanwhile stir soup and broth together in a saucepan. Add chicken and pepper; simmer gently for 6–8 minutes until chicken reaches 165°F."",""Stir in the noodles and vegetables and heat together for 1–2 minutes.""}","American",,false,"https://www.campbells.com/recipes/chicken-noodle-casserole/","Campbell’s Kitchen"
"Chicken and Broccoli Rice Bake","A small chicken-and-rice casserole using cooked rice and frozen broccoli. About 10 minutes of hands-on work; 45 minutes total. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",45,1,4,"{""easy"",""comfort-food"",""low-active-time"",""chicken"",""rice"",""oven""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-and-broccoli-rice-bake-d1255546dc30.jpg","{""2 cups cooked rice"",""2 cups cooked diced chicken"",""2 cups frozen chopped broccoli"",""1 10.5-ounce can condensed cream of chicken soup"",""3/4 cup milk"",""1 cup shredded cheddar"",""1/2 teaspoon garlic powder""}","{""2 cups cooked rice"",""2 cups cooked diced chicken"",""2 cups frozen chopped broccoli"",""1 10.5-ounce can condensed cream of chicken soup"",""3/4 cup milk"",""1 cup shredded cheddar"",""1/2 teaspoon garlic powder""}","{""Heat oven to 375°F. Microwave the broccoli according to the package and drain excess water."",""Mix rice, chicken, broccoli, soup, milk, garlic powder and half the cheese in an 8-inch square baking dish."",""Cover with foil and bake 20 minutes. Uncover, add the remaining cheese and bake another 5–10 minutes, until bubbling and 165°F in the center."",""Let stand for 5 minutes before dividing into four portions.""}","American",,false,"https://www.campbells.com/recipes/baked-chicken-broccoli-rice/","Campbell’s Kitchen"
"Creamy Chicken Mushroom Skillet","Chicken cutlets with mushrooms in a simple creamy skillet sauce. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""one-pan""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/creamy-chicken-mushroom-skillet-9a4ffe2d56c3.jpg","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon oil"",""8 ounces sliced mushrooms"",""1/2 cup chicken broth"",""1/3 cup heavy cream"",""1/2 teaspoon garlic powder"",""1/4 teaspoon salt"",""1/4 teaspoon black pepper""}","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon oil"",""8 ounces sliced mushrooms"",""1/2 cup chicken broth"",""1/3 cup heavy cream"",""1/2 teaspoon garlic powder"",""1/4 teaspoon salt"",""1/4 teaspoon black pepper""}","{""Season chicken with salt and pepper. Heat oil over medium-high in a large skillet."",""Cook cutlets 4–5 minutes per side until 165°F inside; place on a clean plate."",""Cook mushrooms in the same pan for 6–8 minutes, stirring, until softened and browned. Add broth and scrape up browned bits."",""Add cream and garlic powder; simmer gently 3 minutes. Return chicken and warm through in the sauce.""}","American",,false,"https://www.budgetbytes.com/creamy-mushroom-chicken/","Budget Bytes"
"Creamy Pesto Pasta","Penne with a creamy pesto sauce and cherry tomatoes. Serving illustration from the Mealsolved image library. The photo includes pine-nut garnish; extra nuts are optional and not needed for this recipe.","{""lunch"",""dinner""}",20,1,2,"{""easy"",""comfort-food"",""quick"",""vegetarian"",""pasta""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/creamy-pesto-pasta-e3a8cce64679.jpg","{""6 ounces dry penne"",""3 tablespoons basil pesto"",""2 ounces cream cheese"",""1/3 cup milk"",""1 cup cherry tomatoes, halved"",""2 tablespoons grated Parmesan""}","{""6 ounces dry penne"",""3 tablespoons basil pesto"",""2 ounces cream cheese"",""1/3 cup milk"",""1 cup cherry tomatoes, halved"",""2 tablespoons grated Parmesan""}","{""Boil penne according to its package. Save 1/4 cup of the cooking water before draining."",""Put milk and cream cheese in the warm pot over low heat. Stir until smooth, then mix in pesto."",""Add pasta and tomatoes. Warm for 2 minutes, adding a little reserved pasta water if needed. Sprinkle with Parmesan.""}","American",,false,"https://www.budgetbytes.com/one-pot-creamy-pesto-chicken-pasta/","Budget Bytes"
"Chicken Fajita Pasta","A mild fajita-style pasta with chicken, peppers and a creamy tomato sauce. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""pasta""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-fajita-pasta-26ccb7274fb4.jpg","{""6 ounces dry cavatappi pasta"",""10 ounces boneless skinless chicken breast, sliced thin"",""1 tablespoon oil"",""2 cups frozen pepper and onion strips"",""1 tablespoon mild fajita seasoning"",""1/2 cup tomato sauce"",""1/3 cup cream"",""1/4 cup shredded cheddar""}","{""6 ounces dry cavatappi pasta"",""10 ounces boneless skinless chicken breast, sliced thin"",""1 tablespoon oil"",""2 cups frozen pepper and onion strips"",""1 tablespoon mild fajita seasoning"",""1/2 cup tomato sauce"",""1/3 cup cream"",""1/4 cup shredded cheddar""}","{""Cook pasta in boiling water according to its package, then drain."",""Meanwhile heat oil in a large skillet over medium-high. Cook chicken strips 5–7 minutes, turning, until 165°F inside; transfer to a clean plate."",""Cook frozen peppers and onions in the same pan for 6–8 minutes. Stir in seasoning and tomato sauce."",""Return chicken and add cream, pasta and cheese. Stir over low heat for 2 minutes until the cheese melts.""}","American",,false,"https://www.budgetbytes.com/one-pot-creamy-cajun-chicken-pasta/","Budget Bytes"
"Easy Chicken Enchilada Soup","A pantry-friendly enchilada soup with chicken, beans and corn. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,1,3,"{""easy"",""comfort-food"",""quick"",""chicken"",""soup""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/easy-chicken-enchilada-soup-c3538487f9dd.jpg","{""2 cups chicken broth"",""1 10-ounce can mild red enchilada sauce"",""1 15-ounce can black beans, rinsed and drained"",""1 cup frozen corn"",""1 1/2 cups cooked shredded chicken"",""1/2 cup shredded cheddar"",""1 cup tortilla chips"",""1 avocado, diced""}","{""2 cups chicken broth"",""1 10-ounce can mild red enchilada sauce"",""1 15-ounce can black beans, rinsed and drained"",""1 cup frozen corn"",""1 1/2 cups cooked shredded chicken"",""1/2 cup shredded cheddar"",""1 cup tortilla chips"",""1 avocado, diced""}","{""Combine broth, enchilada sauce, beans and corn in a saucepan. Bring to a gentle simmer for 8 minutes."",""Add chicken and simmer 5–7 minutes until it reaches 165°F, stirring occasionally."",""Ladle into bowls and top with cheese, broken tortilla chips and avocado.""}","Tex-Mex",,false,"https://www.budgetbytes.com/chicken-enchilada-soup/","Budget Bytes"
"Easy White Chicken Chili","Mild white-bean chicken chili with a creamy salsa-verde broth. Serving illustration from the Mealsolved image library. Avocado and cilantro in the photo are optional serving garnishes.","{""lunch"",""dinner""}",25,1,3,"{""easy"",""comfort-food"",""quick"",""chicken"",""soup""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/easy-white-chicken-chili-ca0d6bc1d7c9.jpg","{""2 15-ounce cans great northern beans, rinsed and drained"",""1 1/2 cups cooked shredded chicken"",""2 cups chicken broth"",""1/2 cup mild salsa verde"",""1 teaspoon ground cumin"",""2 ounces cream cheese"",""1 lime, cut into wedges""}","{""2 15-ounce cans great northern beans, rinsed and drained"",""1 1/2 cups cooked shredded chicken"",""2 cups chicken broth"",""1/2 cup mild salsa verde"",""1 teaspoon ground cumin"",""2 ounces cream cheese"",""1 lime, cut into wedges""}","{""Mash half a can of beans in a saucepan. Add the remaining beans, broth, salsa verde and cumin."",""Simmer for 8 minutes. Stir in chicken and small pieces of cream cheese."",""Simmer gently for 5–7 minutes, stirring until smooth and chicken reaches 165°F. Serve with lime wedges.""}","Tex-Mex",,false,"https://www.budgetbytes.com/creamy-white-chicken-chili/","Budget Bytes"
"Chicken Fried Rice with Frozen Vegetables","A practical fried-rice dinner with cooked chicken and frozen peas and carrots. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",20,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""rice""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-fried-rice-with-frozen-vegetables-2ec045c835c7.jpg","{""2 cups cooked chilled rice"",""1 cup cooked diced chicken"",""1 cup frozen peas and carrots"",""2 eggs"",""1 tablespoon oil"",""2 tablespoons soy sauce"",""1 teaspoon sesame oil""}","{""2 cups cooked chilled rice"",""1 cup cooked diced chicken"",""1 cup frozen peas and carrots"",""2 eggs"",""1 tablespoon oil"",""2 tablespoons soy sauce"",""1 teaspoon sesame oil""}","{""Heat oil in a large skillet over medium-high. Cook frozen vegetables for 4–5 minutes, stirring."",""Push vegetables aside. Crack eggs into the space and scramble until firm, then stir together."",""Add rice, chicken and soy sauce. Stir-fry for 5–7 minutes, breaking up rice, until the chicken and rice reach 165°F."",""Stir in sesame oil and serve. Use rice that was promptly chilled and refrigerated, not rice left on the counter.""}","Asian-inspired",,false,"https://www.budgetbytes.com/chicken-fried-rice/","Budget Bytes"
"Crispy Frozen Fish Tacos","Crispy frozen fish fillets tucked into tortillas with a quick cabbage slaw. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,1,2,"{""easy"",""comfort-food"",""quick"",""fish"",""tacos""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/crispy-frozen-fish-tacos-bbf94adc75a0.jpg","{""10 ounces frozen breaded fish fillets"",""4 6-inch flour tortillas"",""2 cups bagged shredded cabbage"",""2 tablespoons mayonnaise"",""1 lime"",""1/4 teaspoon salt""}","{""10 ounces frozen breaded fish fillets"",""4 6-inch flour tortillas"",""2 cups bagged shredded cabbage"",""2 tablespoons mayonnaise"",""1 lime"",""1/4 teaspoon salt""}","{""Bake fish from frozen following its package temperature and full cooking time, until the center reaches 145°F. Allow about 20 minutes plus oven preheating; larger fillets may take longer."",""Mix cabbage, mayonnaise, salt and juice from half the lime in a bowl."",""Warm tortillas in a dry skillet, then fill with broken fish fillets and slaw. Cut the remaining lime into wedges for serving.""}","Tex-Mex",,false,"https://www.budgetbytes.com/fish-tacos-with-slaw/","Budget Bytes"
